gps_Date,gps_Time,gps_Lat,gps_Long,gps_Alt,gps_AltMSL,gps_SIV,gps_FixType,gps_CarrierSolution,gps_GroundSpeed,gps_Heading,gps_pDOP,pressure_hPa,pressure_degC,output_Hz,
2023/10/06,21:53:57.000,603836098,53313921,85981,42188,16,3,0,71,14385130,159,1005.26,19.05,0.033,
2023/10/06,21:54:27.000,603836242,53313912,87598,43804,15,3,0,47,14385130,145,1005.38,19.04,0.033,
2023/10/06,21:54:57.000,603836306,53313929,84872,41078,15,3,0,47,14385130,164,1005.49,19.04,0.033,
2023/10/06,21:55:27.000,603836332,53313985,82490,38696,13,3,0,22,14385130,169,1005.45,19.06,0.033,
2023/10/06,21:55:57.000,603836286,53313365,80129,36335,14,3,0,30,14385130,287,1005.42,19.06,0.033,
2023/10/06,21:56:27.000,603836137,53313461,79004,35211,15,3,0,21,14385130,162,1005.48,19.06,0.033,
2023/10/06,21:56:57.000,603836261,53314077,81860,38066,15,3,0,37,14385130,318,1005.49,19.08,0.033,
2023/10/06,21:57:27.000,603836176,53314141,79392,35599,13,3,0,10,14385130,313,1005.45,19.08,0.033,
2023/10/06,21:57:57.000,603835994,53314525,77271,33478,12,3,0,41,14385130,178,1005.43,19.08,0.033,
2023/10/06,21:58:27.000,603836121,53314247,76927,33133,16,3,0,28,14385130,303,1005.52,19.09,0.033,
2023/10/06,21:58:57.000,603836147,53313118,80546,36752,14,3,0,38,14385130,223,1005.48,19.10,0.033,
2023/10/06,21:59:27.000,603836170,53312912,78194,34400,15,3,0,31,14385130,146,1005.38,19.12,0.033,
2023/10/06,21:59:57.000,603836000,53313546,72542,28748,13,3,0,61,14385130,165,1005.40,19.12,0.033,
2023/10/06,22:00:27.000,603835855,53314043,67931,24137,15,3,0,11,14385130,159,1005.41,19.14,0.033,
2023/10/06,22:00:57.000,603836325,53313971,75809,32015,16,3,0,17,14385130,158,1005.36,19.13,0.033,
2023/10/06,22:01:27.000,603836490,53313800,80262,36469,15,3,0,59,14385130,141,1005.41,19.11,0.033,
2023/10/06,22:01:57.000,603836292,53313966,76286,32492,15,3,0,34,14385130,152,1005.48,19.11,0.033,
2023/10/06,22:02:27.000,603836038,53314376,74523,30729,16,3,0,34,14385130,160,1005.47,19.06,0.033,
2023/10/06,22:02:57.000,603835988,53314420,72488,28694,16,3,0,51,14385130,277,1005.41,19.04,0.033,
2023/10/06,22:03:27.000,603836168,53314283,73851,30057,16,3,0,45,14385130,155,1005.48,19.06,0.033,
2023/10/06,22:03:57.000,603836283,53313932,73962,30168,17,3,0,33,14385130,139,1005.47,19.09,0.033,
2023/10/06,22:04:27.000,603836376,53313592,75988,32194,15,3,0,71,14385130,255,1005.49,19.10,0.033,
2023/10/06,22:04:57.000,603836699,53312248,82575,38781,16,3,0,48,14385130,140,1005.58,19.09,0.033,
2023/10/06,22:05:27.000,603836475,53312565,79610,35816,16,3,0,17,14385130,201,1005.44,19.10,0.033,
2023/10/06,22:05:57.000,603836418,53313319,76910,33117,16,3,0,12,14385130,188,1005.53,19.06,0.033,
2023/10/06,22:06:27.000,603836215,53313900,72293,28500,13,3,0,28,14385130,243,1005.50,19.07,0.033,
2023/10/06,22:06:57.000,603836331,53313800,72788,28994,16,3,0,28,14385130,246,1005.54,19.07,0.033,
2023/10/06,22:07:27.000,603836515,53313460,77002,33208,15,3,0,29,14385130,201,1005.51,19.07,0.033,
2023/10/06,22:07:57.000,603836383,53313492,75251,31457,15,3,0,18,14385130,241,1005.54,19.07,0.033,
2023/10/06,22:08:27.000,603836580,53313028,76740,32946,13,3,0,19,14385130,194,1005.57,19.06,0.033,
2023/10/06,22:08:57.000,603836674,53312788,80542,36748,15,3,0,64,14385130,238,1005.51,19.07,0.033,
2023/10/06,22:09:27.000,603836551,53311389,82021,38227,14,3,0,59,14385130,199,1005.57,19.06,0.033,
2023/10/06,22:09:57.000,603836504,53311394,82545,38751,16,3,0,86,14385130,183,1005.57,19.04,0.033,
2023/10/06,22:10:27.000,603836645,53311493,85275,41481,15,3,0,29,14385130,192,1005.57,19.04,0.033,
2023/10/06,22:10:57.000,603836597,53313083,77688,33894,14,3,0,89,14385130,238,1005.56,19.04,0.033,
2023/10/06,22:11:27.000,603836408,53314645,74463,30669,14,3,0,187,14385130,239,1005.53,19.07,0.033,
2023/10/06,22:11:57.000,603836410,53315694,73980,30187,13,3,0,2,14385130,255,1005.62,19.03,0.033,
2023/10/06,22:12:27.000,603836224,53315913,69701,25907,13,3,0,79,14385130,255,1005.68,19.02,0.033,
2023/10/06,22:12:57.000,603836179,53314962,67403,23609,14,3,0,50,14385130,250,1005.59,19.02,0.033,
2023/10/06,22:13:27.000,603836364,53313345,74537,30743,16,3,0,53,14385130,176,1005.70,19.04,0.033,
2023/10/06,22:13:57.000,603836227,53313460,76352,32559,14,3,0,83,14385130,183,1005.69,19.05,0.033,
2023/10/06,22:14:27.000,603836147,53313534,75644,31851,14,3,0,43,14385130,187,1005.70,19.06,0.033,
2023/10/06,22:14:57.000,603836153,53313001,76716,32922,13,3,0,12,14385130,249,1005.69,19.08,0.033,
2023/10/06,22:15:27.000,603836354,53312670,74128,30334,13,3,0,15,14385130,248,1005.66,19.06,0.033,
2023/10/06,22:15:57.000,603836356,53312551,72086,28292,13,3,0,76,14385130,250,1005.59,19.02,0.033,
2023/10/06,22:16:27.000,603836532,53312851,72088,28294,12,3,0,13,14385130,257,1005.73,19.01,0.033,
2023/10/06,22:16:57.000,603836385,53313506,70367,26573,14,3,0,7,14385130,190,1005.59,19.03,0.033,
2023/10/06,22:17:27.000,603836156,53313688,69746,25953,12,3,0,33,14385130,247,1005.73,19.01,0.033,
2023/10/06,22:17:57.000,603836013,53314312,68740,24947,13,3,0,106,14385130,244,1005.65,19.01,0.033,
2023/10/06,22:18:27.000,603836064,53314175,73828,30035,12,3,0,7,14385130,261,1005.75,19.05,0.033,
2023/10/06,22:18:57.000,603836024,53313260,78510,34717,12,3,0,18,14385130,250,1005.71,19.07,0.033,
2023/10/06,22:19:27.000,603835968,53313499,76959,33166,13,3,0,34,14385130,244,1005.70,19.04,0.033,
2023/10/06,22:19:57.000,603836329,53314069,70814,27020,12,3,0,38,14385130,241,1005.78,18.99,0.033,
2023/10/06,22:20:27.000,603836457,53314693,72368,28574,13,3,0,86,14385130,240,1005.76,19.0,0.033,
2023/10/06,22:20:57.000,603836373,53315885,72784,28991,12,3,0,30,14385130,251,1005.76,19.03,0.033,
2023/10/06,22:21:27.000,603836101,53317921,70815,27021,11,3,0,28,14385130,257,1005.75,19.05,0.033,
2023/10/06,22:21:57.000,603836007,53318809,72144,28350,13,3,0,22,14385130,393,1005.80,19.05,0.033,
2023/10/06,22:22:27.000,603835529,53319723,68778,24984,12,3,0,129,14385130,264,1005.85,19.06,0.033,
2023/10/06,22:22:57.000,603835810,53317158,72415,28622,11,3,0,34,14385130,265,1005.87,19.06,0.033,
2023/10/06,22:23:27.000,603836201,53315130,76599,32805,14,3,0,8,14385130,189,1005.88,19.06,0.033,
2023/10/06,22:23:57.000,603836354,53313366,77799,34005,14,3,0,18,14385130,175,1005.94,19.07,0.033,
2023/10/06,22:24:27.000,603836106,53313206,76496,32703,15,3,0,52,14385130,166,1005.89,19.07,0.033,
2023/10/06,22:24:57.000,603835967,53312742,75396,31602,16,3,0,32,14385130,221,1005.91,19.09,0.033,
2023/10/06,22:25:27.000,603835817,53312743,74687,30893,15,3,0,52,14385130,176,1005.99,19.08,0.033,
2023/10/06,22:25:57.000,603835666,53312778,75771,31977,16,3,0,31,14385130,169,1006.04,19.05,0.033,
2023/10/06,22:26:27.000,603835727,53313114,75685,31892,14,3,0,56,14385130,222,1005.85,19.02,0.033,
2023/10/06,22:26:57.000,603835988,53313339,79210,35416,15,3,0,124,14385130,162,1005.95,19.01,0.033,
2023/10/06,22:27:27.000,603836206,53312668,81204,37410,13,3,0,59,14385130,174,1005.97,18.99,0.033,
2023/10/06,22:27:57.000,603836274,53312235,81930,38136,15,3,0,40,14385130,216,1005.93,18.97,0.033,
2023/10/06,22:28:27.000,603836305,53312601,85023,41229,13,3,0,26,14385130,224,1005.99,18.99,0.033,
2023/10/06,22:28:57.000,603836020,53313676,85105,41311,15,3,0,50,14385130,293,1005.96,18.99,0.033,
2023/10/06,22:29:27.000,603836208,53313192,85769,41975,17,3,0,20,14385130,223,1005.92,18.99,0.033,
2023/10/06,22:29:57.000,603836221,53313090,82614,38820,15,3,0,114,14385130,159,1006.01,18.98,0.033,
2023/10/06,22:30:27.000,603836320,53312700,79420,35627,15,3,0,17,14385130,218,1006.00,18.99,0.033,
2023/10/06,22:30:57.000,603836225,53312366,76289,32495,16,3,0,34,14385130,204,1006.08,19.01,0.033,
2023/10/06,22:31:27.000,603836269,53312254,75790,31996,16,3,0,28,14385130,208,1006.02,19.03,0.033,
2023/10/06,22:31:57.000,603836422,53311762,78008,34214,16,3,0,29,14385130,152,1006.10,19.0,0.033,
2023/10/06,22:32:27.000,603836509,53311573,80175,36381,15,3,0,17,14385130,152,1005.93,19.01,0.033,
2023/10/06,22:32:57.000,603836550,53311564,80654,36860,15,3,0,23,14385130,211,1006.03,18.99,0.033,
2023/10/06,22:33:27.000,603836552,53311844,82796,39002,15,3,0,24,14385130,210,1006.08,18.99,0.033,
2023/10/06,22:33:57.000,603836575,53312058,83049,39255,15,3,0,3,14385130,152,1006.03,19.01,0.033,
2023/10/06,22:34:27.000,603836434,53312680,84546,40752,14,3,0,42,14385130,211,1006.07,18.99,0.033,
2023/10/06,22:34:57.000,603836464,53312902,85756,41962,15,3,0,84,14385130,214,1006.07,18.97,0.033,
2023/10/06,22:35:27.000,603836420,53313049,82999,39206,13,3,0,50,14385130,215,1006.08,18.99,0.033,
2023/10/06,22:35:57.000,603836698,53311500,81907,38113,16,3,0,60,14385130,154,1006.07,18.97,0.033,
2023/10/06,22:36:27.000,603836406,53311421,80036,36243,14,3,0,14,14385130,159,1006.10,18.99,0.033,
2023/10/06,22:36:57.000,603836181,53311796,80234,36440,15,3,0,64,14385130,149,1006.09,18.99,0.033,
2023/10/06,22:37:27.000,603836298,53311885,81678,37884,16,3,0,53,14385130,197,1006.09,19.01,0.033,
2023/10/06,22:37:57.000,603836422,53311976,86199,42405,16,3,0,42,14385130,145,1006.15,19.02,0.033,
2023/10/06,22:38:27.000,603836182,53312264,83639,39845,16,3,0,73,14385130,193,1006.09,19.02,0.033,
2023/10/06,22:38:57.000,603835925,53313065,81973,38179,16,3,0,18,14385130,144,1006.14,19.01,0.033,
2023/10/06,22:39:27.000,603835939,53313435,79686,35892,16,3,0,122,14385130,189,1006.16,19.02,0.033,
2023/10/06,22:39:57.000,603835905,53313244,78951,35158,15,3,0,38,14385130,188,1006.14,19.02,0.033,
2023/10/06,22:40:27.000,603835981,53312879,80713,36919,13,3,0,95,14385130,146,1006.21,19.03,0.033,
2023/10/06,22:40:57.000,603835963,53313197,80683,36889,15,3,0,89,14385130,184,1006.19,19.03,0.033,
2023/10/06,22:41:27.000,603835961,53312863,81691,37897,16,3,0,39,14385130,181,1006.21,19.01,0.033,
2023/10/06,22:41:57.000,603836087,53312706,82778,38984,17,3,0,24,14385130,181,1006.16,19.01,0.033,
2023/10/06,22:42:27.000,603836386,53312306,86296,42503,16,3,0,18,14385130,171,1006.19,19.0,0.033,
2023/10/06,22:42:57.000,603836425,53312281,85965,42171,16,3,0,20,14385130,170,1006.18,19.02,0.033,
2023/10/06,22:43:27.000,603836173,53312489,84259,40465,17,3,0,55,14385130,174,1006.30,19.03,0.033,
